Card Name,Bank Name,URL,Card Type,Interest Rate(%),Cash Withdrawal Limit Per transaction,Cash withdrawal Limit Per day,Credit Limit(Max),International Transaction Available,Balance Transfer Available,Dual currency,reward_supplementary_card,reward_airport_lounge,reward_cashback_available,reward luxary resort/hotel,reward insurance plan,reward travel benefits,reward fine dining,reward buffet discount,reward medical discount,reward_shopping,reward airlines ticket,reward point program,EMI available
Sonali Debit Card,Sonali Bank Limited,https://www.sonalibank.com.bd/debit_Card.php,Debit,0,30000,30000,N/A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
Janata Debit Card,Janata Bank Limited,http://www.janatabank-bd.com/atm-services/,Debit,0,N/G,N/G,N/A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
Agrani Debit Card,Agrani Bank Limited,https://www.agranibank.org/debit_card.php,Debit,0,N/G,N/G,N/A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
Rupali Debit Card,Rupali Bank Limited,http://www.rupalibank.org/,Debit,0,20000,50000,N/A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
Krishi Bank Debit Card,Bangladesh Krishi Bank,http://www.krishibank.org.bd/atm-service/,Debit,0,20000,20000,N/A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
AB Bank Debit Card,AB Bank,http://abbl.com/ebiz/cards/debit-card/,Debit,0,200000,300000,N/A,T,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F
AB Bank World MasterCard,AB Bank,http://abbl.com/ebiz/cards/credit-card/world-master-card/,Credit,N/G,500000,500000,1000000,T,T,T,T,T,F,T,F,T,T,T,F,T,F,F,T
AB Bank Titanium MasterCard,AB Bank,http://abbl.com/ebiz/cards/credit-card/titanium-mastercard-credit-card/,Credit,N/G,500000,500000,1000000,T,T,T,T,T,F,T,F,T,T,T,F,T,F,F,T
AB Bank Gold MasterCard,AB Bank,http://abbl.com/ebiz/cards/credit-card/gold-card/,Credit,N/G,250000,250000,500000,T,T,T,T,T,F,T,F,T,T,T,F,T,F,F,T
Bank Asia Debit Card,Bank Asia Limited,http://www.bankasia-bd.com/home/debit_card,Debit,0,N/G,N/G,N/A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F
Bank Asia Visa Classic Local Card,Bank Asia Limited,http://www.bankasia-bd.com/home/visa_classic_card_local,Credit,2,N/G,N/G,99000,F,F,F,F,T,F,F,T,F,F,F,F,F,F,T,T
Bank Asia Visa Gold Local Card,Bank Asia Limited,http://www.bankasia-bd.com/home/visa_gold_card,Credit,2,N/G,N/G,500000,F,F,F,F,F,F,F,T,F,F,F,F,T,F,T,T
Bank Asia Visa Classic Dual Card,Bank Asia Limited,http://www.bankasia-bd.com/home/visa_classic_card_dual,Credit,2,N/G,N/G,99000,T,F,T,F,F,F,F,T,F,F,F,F,T,F,T,T
Bank Asia Visa Gold Dual Card,Bank Asia Limited,http://www.bankasia-bd.com/home/visa_gold_dual,Credit,2,N/G,N/G,500000,T,F,T,F,F,F,F,T,F,F,F,F,T,F,T,T
Bank Asia Virtual Card,Bank Asia Limited,http://www.bankasia-bd.com/home/virtual_card_service,Virtual Prepaid,0,N/G,N/G,N/G,T,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F
Bank Asia SME Card,Bank Asia Limited,http://www.bankasia-bd.com/home/sme_card,Credit,24,N/G,N/G,1000000,T,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F
Bank Asia Visa Butterfly Card,Bank Asia Limited,http://www.bankasia-bd.com/home/visa_butterfly_card,Credit(Women only),2,N/G,N/G,500000,T,F,T,F,F,F,F,F,F,F,F,F,F,F,T,F
Bank Asia Hajj Card,Bank Asia Limited,http://www.bankasia-bd.com/home/hajj_card,Prepaid International,0,N/G,N/G,N/A,T,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F
Brac Bank Signature Card,BRAC Bank Limited,https://www.bracbank.com/signature.php,Credit,0,N/G,N/G,N/G,T,F,T,F,T,F,T,F,T,T,T,F,T,T,T,F
Brac Bank Platinum Card,BRAC Bank Limited,https://www.bracbank.com/platinum.php,Credit,N/G,N/G,N/G,N/G,F,F,F,F,T,F,T,F,T,T,T,F,T,T,T,F
Brac Bank Gold Card,BRAC Bank Limited,https://www.bracbank.com/gold.php,Credit,N/G,N/G,N/G,N/G,F,F,F,F,F,F,T,F,F,T,T,F,T,F,T,F
Brac Bank Classic Card,BRAC Bank Limited,https://www.bracbank.com/classic.php,Credit,N/G,N/G,N/G,N/G,F,F,F,F,F,F,T,F,F,F,F,F,T,F,T,F
Brac Bank  Planet Debit Card,BRAC Bank Limited,https://www.bracbank.com/debit-card.php,Debit,0,N/G,300000,N/A,F,F,F,F,F,F,F,F,F,T,T,F,T,F,F,F
Brac Bank Hajj Card ,BRAC Bank Limited,https://www.bracbank.com/Hajj-Prepaid-Card.php,Prepaid,N/G,N/G,N/G,28000,T,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F
